dataset,battery_id,cycle_idx,fusion_0,fusion_1,fusion_2,fusion_3,fusion_4,fusion_5,fusion_6,fusion_7,fusion_8,fusion_9,fusion_10,fusion_11,fusion_12,fusion_13,fusion_14,fusion_15
NASA,B0005,1,0.7235309,1.6896095,3.1640491,0.25665528,0.53423905,0.3871569,0.52686036,2.1240363,2.5366697,0.17533436,1.1766194,2.8563433,0.5897524,2.3703048,1.538343,3.0405877
NASA,B0005,2,0.645262,1.4636823,2.7260368,0.31909242,0.4965867,0.26480356,0.47020912,1.8300183,2.454678,0.19783093,1.7216152,2.5299692,0.56498754,2.051018,1.465809,2.9448235
NASA,B0005,3,0.51391757,1.6810979,3.0414948,0.23247246,0.38784352,0.41184753,0.38516343,2.1041377,2.5508702,0.18996216,0.92186636,2.8170688,0.42463484,2.3376276,1.548869,3.0162857
NASA,B0005,4,0.5294185,1.5340364,2.6471653,0.44783112,0.4078351,0.34401166,0.39651296,1.8438054,2.4495015,0.27825043,2.0229723,2.5368958,0.4675306,2.0564759,1.463016,2.8713808
NASA,B0005,5,0.551731,1.4803752,2.5579648,0.43064454,0.43917152,0.3070194,0.4330053,1.7765441,2.4458165,0.2707746,0.8272695,2.463245,0.49838725,1.9807382,1.4691396,2.8529289
NASA,B0005,6,0.53907824,1.600159,3.1324542,0.38468006,0.46462023,0.34835976,0.46600315,2.0672765,2.4793415,0.25472406,1.4817053,2.7761834,0.50233626,2.3376017,1.4834723,2.9047577
NASA,B0005,7,0.6498836,1.6284999,3.2390604,0.45571876,0.56640005,0.3926792,0.5580527,2.1221747,2.3544002,0.273611,2.0444245,2.7942395,0.6202226,2.3800592,1.4170815,2.7902975
NASA,B0005,8,0.54774565,1.537709,2.6966825,0.37126082,0.40212372,0.3005744,0.383085,1.8792224,2.5318155,0.22274664,1.1622928,2.6044505,0.46552682,2.0894384,1.516088,3.005082
NASA,B0005,9,0.6304943,1.6632354,3.1937494,0.38504446,0.5205324,0.35646012,0.5152011,2.1140509,2.5085373,0.2115595,0.6099457,2.8578248,0.5575745,2.376287,1.5108472,2.9643993
NASA,B0005,10,0.5753741,1.7181784,3.2378216,0.52712315,0.48183972,0.40757096,0.47351348,2.1752071,2.4466162,0.24150856,0.6385897,2.9013617,0.51314795,2.4409115,1.4710735,2.884652
NASA,B0005,11,0.46923485,1.5813777,2.7946198,0.65249586,0.44120315,0.40547264,0.43561485,1.9022139,2.311059,0.36456174,1.786807,2.5689218,0.50071293,2.1132832,1.3681515,2.6509302
NASA,B0005,12,0.5519941,1.6003,2.743177,0.4526819,0.46629882,0.34482872,0.4496199,1.9106904,2.5521436,0.21344984,2.0828555,2.6412356,0.5253787,2.130076,1.5259062,2.9568183
NASA,B0005,13,0.6056129,1.6840227,3.2953634,0.44493684,0.50668305,0.3857911,0.5010115,2.1710205,2.480659,0.20803079,1.8201001,2.9039652,0.53700995,2.439248,1.4912027,2.914726
NASA,B0005,14,0.58381903,1.700884,3.3016891,0.5507827,0.5036386,0.42147073,0.49859577,2.1779213,2.3956337,0.29098147,1.4544852,2.8884864,0.5332123,2.441879,1.4482514,2.8028817
NASA,B0005,15,0.55900925,1.569353,2.7578526,0.25388512,0.41692382,0.29514164,0.40066865,1.9202182,2.6268537,0.15500797,1.0987798,2.6778533,0.4699898,2.1506302,1.5768905,3.096251
NASA,B0005,16,0.53672653,1.6575221,2.823316,0.5392842,0.41238195,0.40323627,0.40003642,1.9580128,2.5103972,0.2868745,1.8201245,2.6882324,0.4678479,2.1690586,1.5024173,2.9399438
NASA,B0005,17,0.55925417,1.7143066,3.312535,0.5155336,0.47995895,0.4049527,0.47262985,2.1691313,2.48269,0.28124392,1.5100671,2.9117498,0.5115402,2.4305823,1.4956584,2.8845785
NASA,B0005,18,0.5631435,1.6856285,3.1672852,0.6327493,0.5037924,0.4073637,0.50188047,2.1125383,2.4130406,0.2785019,0.74006724,2.8274329,0.539642,2.3671823,1.4505827,2.8125944
NASA,B0005,19,0.50259656,1.6754843,3.21839,0.573105,0.47067767,0.39466494,0.4728413,2.1264794,2.3802357,0.27534997,0.76772124,2.833254,0.50399613,2.3807688,1.4344405,2.7708488
NASA,B0005,20,0.5927557,1.74425,3.1804922,0.48015863,0.4559028,0.42826474,0.45468944,2.1669645,2.5187635,0.2758435,1.8918948,2.900833,0.5175289,2.4068246,1.5026367,2.9682364
NASA,B0005,21,0.47614428,1.6385162,2.9586346,0.50633806,0.4438173,0.39103973,0.44137138,2.0369437,2.3601272,0.30689663,0.95815927,2.7218084,0.5017329,2.2547119,1.4107264,2.6945608
NASA,B0005,22,0.53792787,1.5829186,2.7839465,0.46261567,0.44219917,0.30716017,0.43391505,1.9228688,2.5229418,0.2193844,1.9693545,2.6740103,0.50081927,2.1537943,1.4963497,2.9542866
NASA,B0005,23,0.66458654,1.7419684,3.4010923,0.3323777,0.4970401,0.3521986,0.4928604,2.2387917,2.6568491,0.126938,0.79756165,3.0340586,0.52729976,2.5151167,1.6009679,3.1464825
NASA,B0005,24,0.53706837,1.6859252,3.017706,0.5125861,0.43767723,0.41092196,0.42836434,2.0601852,2.5077708,0.28064206,0.64372987,2.7853262,0.48493075,2.2778208,1.4974723,2.9084942
