dataset,battery_id,n_cycles,eol_cycle,censored
NASA,B0005,168,102,False
NASA,B0006,168,61,False
NASA,B0007,168,125,False
NASA,B0018,132,77,False
CALCE,CS2_35,932,126,False
CALCE,CS2_36,973,97,False
CALCE,CS2_37,1038,98,False
MIT,b1c20,532,533,True
MIT,b1c43,649,650,True
MIT,b1c32,729,730,True
MIT,b1c17,855,856,True
MIT,b1c22,889,890,True
MIT,b1c41,1049,1050,True
MIT,b1c4,1225,1226,True
MIT,b2c1,169,157,False
MIT,b2c44,478,466,False
MIT,b2c42,491,473,False
MIT,b2c13,519,492,False
MIT,b2c24,523,508,False
MIT,b2c32,543,528,False
MIT,b2c9,1059,1060,True
MIT,b3c28,539,540,True
MIT,b3c13,814,815,True
MIT,b3c14,856,857,True
MIT,b3c0,1007,1008,True
MIT,b3c35,1091,1092,True
MIT,b3c33,1282,1283,True
MIT,b3c38,1933,1934,True
MIT,b4c9,529,454,False
MIT,b4c36,713,610,False
MIT,b4c39,761,758,False
MIT,b4c21,903,792,False
MIT,b4c0,982,887,False
MIT,b4c5,1067,946,False
MIT,b4c38,1230,1096,False
