dataset,battery_id,cycle_idx,fusion_0,fusion_1,fusion_2,fusion_3,fusion_4,fusion_5,fusion_6,fusion_7,fusion_8,fusion_9,fusion_10,fusion_11,fusion_12,fusion_13,fusion_14,fusion_15
NASA,B0005,1,2.2260385,5.950407,5.598762,1.9350672,1.7865944,2.398659,1.2051957,2.249341,1.7016361,2.5152354,3.217236,2.1570923,1.2322165,2.1840546,4.665782,2.2705822
NASA,B0005,2,2.0299938,5.963636,5.197977,1.8747737,1.6145684,2.47611,1.1123341,2.3789957,1.5278455,2.6473956,4.6696186,2.229586,2.2950108,2.115263,4.4403105,2.0406973
NASA,B0005,3,2.0946975,5.628995,5.520213,1.677089,1.7041876,2.062176,1.1688043,1.9172363,1.601246,2.1491416,2.6356287,1.8520197,0.8388039,1.9106985,4.896877,2.1352363
NASA,B0005,4,1.6818434,6.206234,5.087779,1.9099993,1.3700753,2.6369352,1.0881299,2.574718,1.2850494,2.857576,5.7276235,2.376148,3.0483935,2.1720238,4.4281764,1.6866257
NASA,B0005,5,1.7224938,5.209201,4.984793,1.5568866,1.3841913,1.9009459,1.1894656,1.7580731,1.3031855,1.9677919,2.3367379,1.7012373,0.8110296,1.7291068,4.3977046,1.7145996
NASA,B0005,6,2.0124514,5.9898753,5.4040184,1.9582301,1.6106611,2.5453975,1.0280803,2.4394562,1.5623318,2.742281,4.1502714,2.303238,1.8980958,2.275192,4.1521587,2.043853
NASA,B0005,7,1.886691,6.3672767,5.4192944,2.2110057,1.5300125,2.93612,0.8782456,2.8551497,1.4863365,3.1770196,5.6574855,2.656945,2.8315628,2.5328493,3.8533137,1.9725384
NASA,B0005,8,1.8192996,5.724977,5.3018847,1.697684,1.470661,2.1523423,1.1021546,2.0247788,1.3793666,2.2620652,3.2946036,1.9318053,1.3511986,1.9074398,4.717818,1.8222417
NASA,B0005,9,1.9662203,5.4162745,5.569314,1.77059,1.5767732,2.0013878,1.056098,1.8090473,1.5290804,2.0381396,1.3501416,1.79634,0.10054421,1.9660038,4.4655294,2.0284462
NASA,B0005,10,1.9178678,5.4918256,5.5259876,1.8103464,1.5087079,2.1035259,1.0427204,1.9283242,1.4551615,2.17814,1.5037723,1.894208,0.18469538,2.0628934,4.581391,1.9341284
NASA,B0005,11,1.3643875,5.891628,5.013985,1.8978885,1.0990164,2.5368443,0.8385322,2.4513278,1.0654297,2.7233853,4.9081874,2.2799797,2.5339136,2.1400514,3.7691932,1.409533
NASA,B0005,12,1.7334983,6.3305397,5.3462615,1.9191629,1.3842663,2.6333876,1.0514711,2.5646985,1.3061965,2.8451385,5.812334,2.368295,3.0479887,2.1671782,4.455444,1.7283454
NASA,B0005,13,1.9406369,6.3783684,5.561795,2.0996282,1.5509329,2.7947245,0.9710761,2.7094665,1.5131546,3.0256846,5.059482,2.5294893,2.4728734,2.4367092,4.143162,2.0078707
NASA,B0005,14,1.8663117,5.9713635,5.3770337,1.9278508,1.4789613,2.5306349,0.97123253,2.4293706,1.4371523,2.7243414,4.0908484,2.2850597,1.8563697,2.244361,4.0461955,1.913681
NASA,B0005,15,2.0255914,5.6668553,5.3667207,1.5781227,1.6306558,2.0209172,1.1379824,1.8924975,1.5217063,2.1302755,3.0961533,1.8164454,1.2357768,1.7836148,4.8629627,2.0106657
NASA,B0005,16,1.7548336,6.1162653,5.232752,1.7996545,1.4011117,2.4601462,1.112804,2.3851097,1.3229303,2.6548355,4.980429,2.216539,2.5721166,2.0457866,4.560119,1.7295883
NASA,B0005,17,1.867353,6.0843315,5.448663,1.9544289,1.4800221,2.550981,0.98345876,2.4451823,1.4520974,2.7375765,4.1689806,2.3070555,1.9151208,2.2517693,4.1636415,1.9100215
NASA,B0005,18,1.7625836,5.2846165,5.234984,1.6960149,1.3927537,2.025515,0.87860733,1.8685089,1.3618245,2.102383,1.979016,1.8232459,0.4738868,1.9151893,4.096582,1.8057317
NASA,B0005,19,1.7447822,5.2577467,5.1861067,1.7008219,1.3604999,2.0372906,0.7885631,1.887095,1.3348354,2.1206532,2.1674922,1.8377641,0.5443552,1.923528,3.9912858,1.7923882
NASA,B0005,20,2.0968826,6.3645697,5.4858985,1.9561082,1.6805958,2.6781619,1.1352214,2.6037307,1.5949659,2.9079034,5.171655,2.415477,2.6801226,2.2745245,4.5178785,2.113947
NASA,B0005,21,1.6574652,5.236509,5.0541925,1.567723,1.29958,1.9677783,0.9080476,1.837774,1.2462138,2.0584054,2.63076,1.761053,0.9557233,1.7757878,3.9751496,1.6940368
NASA,B0005,22,1.690302,6.2063823,5.251978,1.8451196,1.3281822,2.5615978,1.0314006,2.497332,1.2731494,2.779587,5.508338,2.3031228,2.894848,2.1109443,4.2876973,1.7033954
NASA,B0005,23,2.1987944,6.028497,5.893429,1.9563626,1.7575443,2.3404996,1.0678608,2.1702945,1.6903737,2.4404368,2.2452075,2.108731,0.53468966,2.2266648,4.9271226,2.2432995
NASA,B0005,24,1.8080598,5.409345,5.385908,1.7043655,1.441353,1.9675171,1.0912786,1.786627,1.3793522,2.0004792,1.4549593,1.7578198,0.20412926,1.8786366,4.7575006,1.8229842
NASA,B0005,25,1.4832841,5.816444,4.923933,1.7685796,1.1569335,2.4315865,0.8759408,2.3623142,1.1235635,2.6317375,4.947513,2.1888893,2.5717716,2.0146875,3.882992,1.5082413
NASA,B0005,26,1.8523226,6.0997596,5.3726125,1.7688936,1.4738629,2.3748477,1.109254,2.280622,1.3910327,2.5438719,4.441059,2.1355343,2.1366255,2.0083501,4.7483754,1.8431602
NASA,B0005,27,1.9027078,6.295282,5.3278418,1.995858,1.4690521,2.7562456,0.9402905,2.698022,1.4370058,3.0130198,5.6883583,2.492778,2.9028459,2.3327327,4.0581007,1.9384309
NASA,B0005,28,1.3874,5.2485113,4.7784214,1.5378264,1.0837668,2.0219326,0.7993925,1.9152553,1.0495087,2.1384954,3.463392,1.8103981,1.570168,1.7272948,3.722139,1.4172195
NASA,B0005,29,1.6131102,5.6762505,5.205238,1.6028861,1.2887704,2.0777366,1.0623808,1.9610082,1.2072033,2.1878557,3.3971941,1.8606195,1.4540203,1.795085,4.5634723,1.5867344
NASA,B0005,30,1.7634732,5.323998,5.274698,1.6967652,1.4026647,2.0115879,0.9557572,1.8510461,1.3704691,2.081071,1.8563997,1.8107643,0.38067928,1.913383,4.2816544,1.8054264
NASA,B0005,31,1.6434605,6.1381426,5.2254753,1.8194242,1.2974951,2.4859076,0.93376374,2.4135396,1.2361767,2.677059,5.2539854,2.2328303,2.7578757,2.0423126,4.340096,1.657803
NASA,B0005,32,1.4509388,5.3843446,5.0614653,1.470894,1.1224058,1.8753242,0.96369916,1.7488819,1.0712093,1.9563286,2.7243013,1.6729962,1.0471563,1.6379619,4.365187,1.4351555
NASA,B0005,33,1.5765831,5.9739356,5.232635,1.7161877,1.2224594,2.3107412,1.0078092,2.2256052,1.1559186,2.4713235,4.601801,2.0716884,2.308937,1.9235034,4.4997444,1.5402458
NASA,B0005,34,1.5859442,6.0731483,5.2124023,1.7166455,1.2627641,2.3469632,1.0456161,2.2712045,1.1957858,2.527318,4.914835,2.1095574,2.5336194,1.94109,4.6407065,1.5874714
NASA,B0005,35,1.3562825,5.551847,4.9450665,1.513411,1.066571,2.019139,0.9590716,1.9180957,1.0085623,2.1461625,3.6071146,1.8045307,1.6867492,1.7020371,4.4205546,1.3057952
NASA,B0005,36,1.351416,5.909141,5.131857,1.6478386,1.0556855,2.2406356,0.9364749,2.1556246,0.98854035,2.4007678,4.433659,2.003743,2.230465,1.8641177,4.600772,1.3120266
NASA,B0005,37,1.3511598,6.124826,5.094508,1.7121844,1.0423812,2.3815022,0.91539854,2.3137374,0.9676621,2.5695095,5.1663876,2.13555,2.719318,1.9330074,4.711588,1.2830634
NASA,B0005,38,1.4269617,5.840227,4.9698844,1.5327415,1.0955364,2.169533,0.97602296,2.1078336,1.0332291,2.344906,4.9171586,1.9425015,2.5797238,1.7338393,4.5090275,1.3876436
NASA,B0005,39,1.4020725,5.6563463,4.9957337,1.3705974,1.0708224,1.9298694,0.9435659,1.8583882,1.0063066,2.0665636,4.33055,1.7252355,2.1702328,1.5362594,4.6614966,1.3551917
NASA,B0005,40,1.3254868,5.087838,4.9771395,1.4096894,1.0158993,1.6744527,0.95151347,1.5183823,0.96297896,1.7030619,1.625517,1.4898782,0.33888546,1.5410178,4.6527977,1.2891992
NASA,B0005,41,1.3440596,5.575037,4.953133,1.440275,1.0272039,1.9488022,0.9522354,1.8559064,0.9588707,2.0739086,3.7623727,1.7390702,1.8078477,1.6136588,4.581328,1.2661332
NASA,B0005,42,1.3938788,5.979924,4.9611783,1.6808782,1.0466149,2.3511508,0.95634186,2.2932727,0.9731126,2.5370092,5.1722145,2.1085653,2.7408195,1.9077044,4.513635,1.3029809
NASA,B0005,43,1.9318951,6.1772923,5.41866,1.7659767,1.5032138,2.3999386,1.1141632,2.3167214,1.4286383,2.5860631,4.623465,2.1690931,2.2269928,2.0420637,4.85837,1.9012218
