dataset,battery_id,cycle_idx,fusion_0,fusion_1,fusion_2,fusion_3,fusion_4,fusion_5,fusion_6,fusion_7,fusion_8,fusion_9,fusion_10,fusion_11,fusion_12,fusion_13,fusion_14,fusion_15
NASA,B0005,1,1.3023503,0.41162586,1.4659703,0.73796743,0.9759631,0.4768258,0.9159442,0.74359804,1.1255425,0.092774585,0.5611707,5.238469,1.2070093,0.97942495,0.40678397,1.2313895
NASA,B0005,2,1.1360153,0.27460045,1.1107484,0.5218418,0.8958099,0.30972755,0.8226119,0.55690974,1.0422475,0.11826256,0.6220472,4.7381744,1.1246572,0.7293796,0.3572001,1.1174873
NASA,B0005,3,1.2532451,0.4280973,1.3603592,0.69908804,0.9212984,0.49817485,0.86189306,0.7262619,1.0820985,0.1380638,0.49399048,5.172907,1.1425477,0.9314058,0.3734788,1.2318001
NASA,B0005,4,1.0813826,0.33124048,0.9693201,0.54127073,0.8228195,0.3870957,0.7608797,0.527473,0.9604426,0.16215687,0.62173873,4.7442636,1.0403738,0.69662356,0.3404666,1.0485289
NASA,B0005,5,1.2791665,0.30799994,0.9488914,0.51010454,0.9818634,0.350216,0.91184783,0.48005807,1.1612248,0.19391175,0.41847962,4.6388235,1.257451,0.64207315,0.3748905,1.2206769
NASA,B0005,6,1.1403946,0.39952424,1.5049043,0.6680414,0.93248796,0.44060898,0.8808943,0.7558465,1.108028,0.20566976,0.6438996,5.0192842,1.1568751,0.96699655,0.36777145,1.1163367
NASA,B0005,7,1.1354764,0.47077066,1.7464298,0.83503705,0.9645889,0.5328463,0.9102881,0.8887512,1.1317693,0.23838979,0.79350656,5.0389495,1.1816841,1.1404226,0.3899461,1.1116295
NASA,B0005,8,1.0581075,0.29439655,0.9691877,0.5123083,0.78279895,0.33804077,0.7266973,0.5226038,0.9161849,0.12068226,0.49523446,4.903648,0.99551386,0.6838268,0.32175732,1.0305948
NASA,B0005,9,1.1427425,0.39885247,1.5052881,0.7288506,0.9136356,0.4545967,0.86399674,0.74062276,1.0710434,0.1433105,0.4440992,5.2310658,1.1292492,0.99026465,0.37239733,1.1146591
NASA,B0005,10,1.140435,0.41980743,1.5184262,0.7361589,0.9232647,0.48660868,0.8671016,0.7765562,1.1068931,0.1758487,0.44852212,5.2255955,1.1517736,1.0118554,0.3641995,1.1910976
NASA,B0005,11,0.9186444,0.40352073,1.2263063,0.70358413,0.83496356,0.48163474,0.77193177,0.6513449,0.9633867,0.25443575,0.6324952,4.760521,1.0299071,0.8733324,0.30921593,0.89209336
NASA,B0005,12,1.0982977,0.31939507,1.0170327,0.56519204,0.86544824,0.38187203,0.80287445,0.52837324,1.0114696,0.121171914,0.63256377,4.9873013,1.0936853,0.71539634,0.35694522,1.0346707
NASA,B0005,13,1.0879698,0.437407,1.6265198,0.77332383,0.88428223,0.5040967,0.8357348,0.81928724,1.0333182,0.15084694,0.75376916,5.26358,1.0903995,1.0592648,0.37331322,1.0807582
