dataset,battery_id,cycle_idx,fusion_0,fusion_1,fusion_2,fusion_3,fusion_4,fusion_5,fusion_6,fusion_7,fusion_8,fusion_9,fusion_10,fusion_11,fusion_12,fusion_13,fusion_14,fusion_15
NASA,B0005,1,0.26751068,0.16005515,0.16088697,0.18046851,0.061521,0.12378925,1.4474012,0.0,0.123898156,0.35330632,0.06789946,0.13726549,0.0,0.16764893,1.4048861,0.111345656
NASA,B0005,2,0.2687258,0.19214126,0.1449091,0.18350624,0.047305793,0.11890322,1.413927,0.0,0.11635478,0.19204801,0.05968841,0.18614107,0.0008132711,0.21698332,1.3728386,0.086998664
NASA,B0005,3,0.23083705,0.118467905,0.15659676,0.13232672,0.06693935,0.15465719,1.4344864,0.0,0.113535985,0.4344709,0.13030481,0.1045916,0.0061472747,0.12995096,1.3730568,0.09409028
NASA,B0005,4,0.19401443,0.25091583,0.16714165,0.22916836,0.09003124,0.13710052,1.365934,0.0,0.11128393,0.14352416,0.06806498,0.2633591,0.00051669107,0.28790095,1.323029,0.08779428
NASA,B0005,5,0.19907448,0.23005095,0.15639497,0.2253409,0.06822572,0.12613533,1.3296803,0.0,0.10901518,0.36929852,0.07078823,0.22903404,0.00095042936,0.25218362,1.2269443,0.06881973
NASA,B0005,6,0.3377255,0.21507809,0.18755016,0.2128461,0.05815456,0.12879066,1.5513626,0.0,0.10222384,0.24818598,0.13949609,0.21510778,0.006534345,0.24380007,1.4891223,0.14048594
NASA,B0005,7,0.38996202,0.24730504,0.21292031,0.25592473,0.083771296,0.1339851,1.535783,0.00042857535,0.10274928,0.24621262,0.09274346,0.2378449,0.004918929,0.27932808,1.5408578,0.1305632
NASA,B0005,8,0.21849686,0.20784828,0.16290821,0.195499,0.068223335,0.11396845,1.3853459,0.0,0.108967565,0.29676944,0.07879624,0.21674219,0.0008354221,0.23865475,1.3054374,0.07511227
NASA,B0005,9,0.31810758,0.16524056,0.17186177,0.16086538,0.051906094,0.13465272,1.5796837,0.0,0.25307193,0.5587274,0.12539408,0.142231,0.0050392784,0.17224133,1.4282813,0.10994144
NASA,B0005,10,0.3665102,0.265033,0.1914331,0.23151873,0.08434067,0.13545972,1.5985999,0.0,0.21403372,0.5537155,0.15440077,0.25285715,0.005517854,0.29278022,1.4296378,0.15791152
