dataset,battery_id,cycle_idx,fusion_0,fusion_1,fusion_2,fusion_3,fusion_4,fusion_5,fusion_6,fusion_7,fusion_8,fusion_9,fusion_10,fusion_11,fusion_12,fusion_13,fusion_14,fusion_15
NASA,B0006,1,0.2579033,0.5972187,0.56060785,0.5717453,0.578488,0.67775995,0.017574653,0.23171322,0.00047767663,0.12691288,0.02901715,0.8213596,0.15852591,0.000894485,0.19961134,0.2288397
NASA,B0006,2,0.25591636,0.5473316,0.55863786,0.53356665,0.58302766,1.1009321,0.053396773,0.61289316,0.02201451,0.6293078,0.07096663,1.1508337,0.17880414,0.0030204912,0.19593656,0.22981158
NASA,B0006,3,0.25009295,0.5796327,0.5435195,0.553723,0.5648535,0.70088226,0.018842278,0.260072,0.0008822596,0.16171686,0.037991527,0.8366988,0.1565856,0.00141382,0.18882324,0.2218824
NASA,B0006,4,0.25432426,0.58683085,0.5536001,0.5606027,0.57373255,0.69825006,0.018158399,0.2535091,0.0006596069,0.15324372,0.03648954,0.83812165,0.15840556,0.0009294389,0.19205925,0.22546387
NASA,B0006,5,0.22694488,0.60387224,0.49322587,0.5962108,0.5079227,0.5835452,0.031124292,0.15909576,0.000388704,0.0460044,0.012431685,0.72322744,0.13594267,0.0012751053,0.17976604,0.20103142
NASA,B0006,6,0.24750997,0.56773305,0.5395414,0.5477364,0.56382495,0.7356936,0.022416271,0.29232302,0.002163074,0.20302233,0.04400414,0.86451125,0.15678978,0.0016310032,0.18523142,0.21894485
NASA,B0006,7,0.22699504,0.62694144,0.49284825,0.62593156,0.5072515,0.58532214,0.018739924,0.14781523,0.00035836606,0.02162169,0.011693596,0.7274924,0.13088845,0.00095312484,0.16297883,0.19953038
NASA,B0006,8,0.23663114,0.55402565,0.5209959,0.5385314,0.55405134,0.88062143,0.03860028,0.42514,0.009297239,0.38037467,0.05854421,0.9739492,0.16015296,0.0026486022,0.1840627,0.20994778
NASA,B0006,9,0.24328737,0.63709706,0.52977663,0.63603354,0.5447527,0.6053194,0.021630878,0.15374103,0.0008901353,0.027647732,0.012270494,0.75661844,0.14074901,0.0005211304,0.17727956,0.21491107
NASA,B0006,10,0.2306925,0.5308512,0.50389355,0.52441317,0.52512884,1.0414019,0.05607412,0.5771818,0.021951275,0.5890238,0.06667392,1.0856812,0.16178256,0.0036604588,0.17461699,0.2067189
NASA,B0006,11,0.22804494,0.57597274,0.49909717,0.55726796,0.51677215,0.6554949,0.019506933,0.22996867,0.0004034694,0.1286247,0.031801328,0.78755033,0.141934,0.0015317178,0.17261422,0.20170708
NASA,B0006,12,0.2367573,0.5994985,0.51833606,0.582678,0.5326202,0.61576587,0.030613568,0.18451287,0.0003483158,0.07795764,0.01750376,0.7583962,0.14388047,0.0012381637,0.18752314,0.2090094
NASA,B0006,13,0.24373996,0.56106645,0.538585,0.5417618,0.57065785,0.8834846,0.03551609,0.4202622,0.008316871,0.3717986,0.059797894,0.9856328,0.1634866,0.0022635376,0.1862799,0.2153702
NASA,B0006,14,0.22387892,0.57944334,0.49183816,0.5619428,0.50766444,0.63957185,0.019996896,0.21597043,0.00027564546,0.11331926,0.027923705,0.7726645,0.1383381,0.0016908261,0.1704295,0.1974918
NASA,B0006,15,0.20518237,0.582447,0.45091525,0.5751889,0.46360266,0.5749258,0.031441327,0.1667387,0.0002941009,0.058950596,0.01513342,0.70542353,0.124585554,0.0023428204,0.16254276,0.18115897
NASA,B0006,16,0.19835347,0.6065981,0.43383092,0.6105507,0.4463158,0.5604647,0.02020823,0.14346911,0.00024280227,0.020142924,0.012078813,0.691488,0.11476479,0.002379474,0.14093032,0.173685
