dataset,battery_id,n_cycles,eol_cycle,censored
NASA,B0005,168,102,False
NASA,B0006,168,61,False
NASA,B0007,168,125,False
NASA,B0018,132,77,False
NASA,B0025,28,29,True
NASA,B0026,28,6,False
NASA,B0027,28,29,True
NASA,B0028,28,29,True
NASA,B0029,39,40,True
NASA,B0030,39,40,True
NASA,B0031,39,40,True
NASA,B0032,39,40,True
NASA,B0042,112,6,False
NASA,B0043,112,6,False
NASA,B0044,112,6,False
NASA,B0045,71,19,False
NASA,B0046,71,19,False
NASA,B0047,71,19,False
NASA,B0048,71,19,False
NASA,B0053,55,55,False
NASA,B0054,102,73,False
NASA,B0055,101,62,False
NASA,B0056,101,102,True
CALCE,CS2_35,932,126,False
CALCE,CS2_36,973,97,False
CALCE,CS2_37,1038,98,False
MIT,b1c1,1177,1178,True
MIT,b1c2,1175,1176,True
MIT,b1c3,1224,1225,True
MIT,b1c4,1225,1226,True
MIT,b1c5,1072,1073,True
MIT,b1c6,634,635,True
MIT,b1c7,868,869,True
MIT,b1c8,877,878,True
MIT,b1c9,1052,1053,True
MIT,b1c10,904,905,True
MIT,b1c11,786,787,True
MIT,b1c12,900,901,True
MIT,b1c13,895,896,True
MIT,b1c14,878,879,True
MIT,b1c15,717,718,True
MIT,b1c16,860,861,True
MIT,b1c17,855,856,True
MIT,b1c19,786,787,True
MIT,b1c20,532,533,True
MIT,b1c21,557,558,True
MIT,b1c22,889,890,True
MIT,b1c23,1012,1013,True
MIT,b1c24,1015,1016,True
MIT,b1c25,852,853,True
MIT,b1c26,868,869,True
MIT,b1c27,840,841,True
MIT,b1c28,858,859,True
MIT,b1c29,915,916,True
MIT,b1c30,707,708,True
MIT,b1c31,874,875,True
MIT,b1c32,729,730,True
MIT,b1c33,755,756,True
MIT,b1c34,740,741,True
MIT,b1c35,701,702,True
MIT,b1c36,702,703,True
MIT,b1c37,646,647,True
MIT,b1c38,615,616,True
MIT,b1c39,623,624,True
MIT,b1c40,964,965,True
MIT,b1c41,1049,1050,True
MIT,b1c42,700,701,True
MIT,b1c43,649,650,True
MIT,b1c44,614,615,True
MIT,b1c45,597,598,True
MIT,b2c0,325,310,False
MIT,b2c1,169,157,False
MIT,b2c2,463,447,False
MIT,b2c3,360,347,False
MIT,b2c4,470,453,False
MIT,b2c5,506,492,False
MIT,b2c6,544,527,False
MIT,b2c7,661,662,True
MIT,b2c8,980,981,True
MIT,b2c9,1059,1060,True
MIT,b2c10,595,576,False
MIT,b2c11,504,487,False
MIT,b2c13,519,492,False
MIT,b2c14,508,492,False
MIT,b2c15,207,208,True
MIT,b2c16,481,482,True
MIT,b2c17,524,506,False
MIT,b2c18,522,505,False
MIT,b2c19,488,482,False
MIT,b2c20,530,508,False
MIT,b2c21,519,498,False
MIT,b2c22,539,520,False
MIT,b2c23,561,539,False
MIT,b2c24,523,508,False
MIT,b2c25,486,472,False
MIT,b2c26,497,479,False
MIT,b2c27,494,481,False
MIT,b2c28,540,523,False
MIT,b2c29,521,507,False
MIT,b2c30,506,493,False
MIT,b2c31,518,502,False
MIT,b2c32,543,528,False
MIT,b2c33,545,528,False
MIT,b2c34,525,511,False
MIT,b2c35,485,473,False
MIT,b2c36,559,542,False
MIT,b2c37,501,486,False
MIT,b2c38,486,474,False
MIT,b2c39,479,465,False
MIT,b2c40,529,509,False
MIT,b2c41,451,438,False
MIT,b2c42,491,473,False
MIT,b2c43,486,471,False
MIT,b2c45,513,498,False
MIT,b2c46,448,437,False
MIT,b2c47,744,740,False
MIT,b3c0,1007,1008,True
MIT,b3c1,1061,1062,True
MIT,b3c2,1265,1266,True
MIT,b3c3,1113,1114,True
MIT,b3c4,1046,1047,True
MIT,b3c5,826,827,True
MIT,b3c6,665,666,True
MIT,b3c7,1834,1835,True
MIT,b3c8,826,827,True
MIT,b3c9,1037,1038,True
MIT,b3c10,1076,1077,True
MIT,b3c11,815,816,True
MIT,b3c12,930,931,True
MIT,b3c13,814,815,True
MIT,b3c14,856,857,True
MIT,b3c15,874,875,True
MIT,b3c16,1636,1637,True
MIT,b3c17,1313,1314,True
MIT,b3c18,1144,1145,True
MIT,b3c19,1153,1154,True
MIT,b3c20,811,812,True
MIT,b3c21,770,771,True
MIT,b3c22,1000,1001,True
MIT,b3c23,2188,2189,True
MIT,b3c24,823,824,True
MIT,b3c25,987,988,True
MIT,b3c26,1026,1027,True
MIT,b3c27,848,849,True
MIT,b3c28,539,540,True
MIT,b3c29,856,857,True
MIT,b3c30,933,934,True
MIT,b3c31,729,730,True
MIT,b3c32,2236,2237,True
MIT,b3c33,1282,1283,True
MIT,b3c34,1156,1157,True
MIT,b3c35,1091,1092,True
MIT,b3c36,921,922,True
MIT,b3c37,1388,1389,True
MIT,b3c38,1933,1934,True
MIT,b3c39,1154,1155,True
MIT,b3c40,794,795,True
MIT,b3c41,784,785,True
MIT,b3c42,1640,1641,True
MIT,b3c43,1044,1045,True
MIT,b3c44,938,939,True
MIT,b3c45,1799,1800,True
MIT,b4c0,982,887,False
MIT,b4c1,861,782,False
MIT,b4c2,784,761,False
MIT,b4c3,911,802,False
MIT,b4c4,912,671,False
MIT,b4c5,1067,946,False
MIT,b4c6,777,734,False
MIT,b4c7,562,540,False
MIT,b4c8,718,698,False
MIT,b4c9,529,454,False
MIT,b4c10,1082,892,False
MIT,b4c11,930,885,False
MIT,b4c12,898,836,False
MIT,b4c13,869,785,False
MIT,b4c14,767,624,False
MIT,b4c15,871,692,False
MIT,b4c16,983,932,False
MIT,b4c17,930,861,False
MIT,b4c18,1057,932,False
MIT,b4c19,1111,1019,False
MIT,b4c20,804,776,False
MIT,b4c21,903,792,False
MIT,b4c22,745,686,False
MIT,b4c23,1094,1067,False
MIT,b4c24,1115,1015,False
MIT,b4c25,567,469,False
MIT,b4c26,579,490,False
MIT,b4c27,563,516,False
MIT,b4c28,882,842,False
MIT,b4c29,956,906,False
MIT,b4c30,719,637,False
MIT,b4c31,832,572,False
MIT,b4c32,839,772,False
MIT,b4c33,530,514,False
MIT,b4c34,997,923,False
MIT,b4c35,1131,1095,False
MIT,b4c36,713,610,False
MIT,b4c37,1005,895,False
MIT,b4c38,1230,1096,False
MIT,b4c39,761,758,False
MIT,b4c40,1122,1116,False
MIT,b4c41,997,854,False
MIT,b4c42,915,795,False
MIT,b4c43,951,775,False
MIT,b4c44,1077,970,False
