dataset,battery_id,cycle_idx,soh_value,local_median,neighbor_before,neighbor_after,position
CALCE,CS2_36,97,8.820443758591674,92.98544669773203,92.33597455523955,93.02531929135216,interior
CALCE,CS2_36,255,12.862606604823974,90.9660478627082,91.01732186936691,90.37824092067474,interior
CALCE,CS2_37,98,4.891038700378313,91.15181843356787,89.80147303578083,91.30624237655705,interior
NASA,B0042,6,0.0,99.17826114977288,99.62172854151463,98.8405773574624,interior
NASA,B0043,6,0.0,98.21518162056381,98.45766679838113,97.97269644274651,interior
NASA,B0044,6,0.0,98.12084973779861,98.38813684127925,97.85356263431795,interior
NASA,B0045,19,0.0,83.1218366444174,83.67952546462816,82.56414782420664,interior
NASA,B0045,65,0.0,70.99126467682574,71.05878595915894,70.79079094952844,interior
NASA,B0046,19,0.0,90.94116348637142,90.5833740499241,93.80668773376586,interior
NASA,B0046,53,0.0,77.00043031183478,74.75852107601945,80.77320836555256,interior
NASA,B0046,65,0.0,77.55097710574265,75.52540451379912,83.36551926604176,interior
NASA,B0047,19,0.0,87.40763743209355,86.94483094616871,88.81668939828509,interior
NASA,B0047,53,0.0,76.08570374991359,73.33696224745154,78.96087484745476,interior
NASA,B0047,65,0.0,77.18586191878094,75.48650615904123,80.98464828810441,interior
NASA,B0048,19,0.0,90.01593400733044,89.66590706680878,91.55807772027151,interior
NASA,B0048,53,0.0,80.84207392968132,77.23432266592093,84.01741853460571,interior
NASA,B0048,65,0.0,82.59857715666669,80.60552434048111,86.72053411209791,interior
NASA,B0053,55,0.0,91.0039219920826,87.83826244717416,,last_cycle (no after-neighbor to check)
NASA,B0054,102,0.0,77.12737199187765,75.76478394567685,,last_cycle (no after-neighbor to check)
