dataset,battery_id,n_cycles,SOH_first,SOH_last,SOH_drop_pp,fade_rate_pp_per_cycle
NASA,B0053,55,100.34084627207898,0.0,100.34084627207898,1.8243790231287087
NASA,B0030,39,101.1115771387332,88.6951020341852,12.416475104547999,0.31837115652687176
NASA,B0044,112,101.44754716103242,75.10706786086998,26.340479300162443,0.23518285089430752
NASA,B0025,28,99.9945853703505,95.7056131686318,4.288972201718707,0.15317757863281095
MIT,b4c25,567,99.92934696087475,51.28625381047654,48.643093150398215,0.08579028774320673
MIT,b2c0,325,99.82690702899824,77.10457832494254,22.7223287040557,0.06991485755094061
MIT,b4c43,951,99.8927305887109,43.54516292548929,56.34756766322162,0.05925085979308267
MIT,b4c3,911,99.94792636505507,49.294619856261114,50.65330650879395,0.05560187322589896
MIT,b2c41,451,99.79003271980774,77.21397446407009,22.57605825573765,0.050057778837555765
MIT,b2c37,501,99.87347820277347,76.81321736493084,23.060260837842634,0.04602846474619288
MIT,b2c14,508,99.8646817520082,76.53345736270958,23.33122438929861,0.04592760706554845
MIT,b2c19,488,100.0,78.7923578674156,21.207642132584397,0.04345828305857458
MIT,b2c32,543,99.9229835431272,76.93138345275379,22.99160009037341,0.042341804954647164
MIT,b2c28,540,99.83839326851361,77.03390480343283,22.80448846508078,0.042230534194594035
MIT,b2c23,561,99.82884957687605,76.72675419660894,23.102095380267116,0.04118020566892534
MIT,b4c8,718,99.96692297234819,75.83239264184752,24.134530330500667,0.033613551992340764
MIT,b4c34,997,99.94296939598662,68.46041920967365,31.482550186312977,0.031577282032410205
MIT,b4c20,804,99.93020570477033,75.43856313648563,24.491642568284703,0.03046224200035411
MIT,b4c16,983,99.95222243689973,70.92014082465096,29.032081612248774,0.02953416237258268
MIT,b4c11,930,99.92943452647334,73.47852888435722,26.450905642116126,0.028441834023780782
MIT,b2c47,744,99.84059228125196,79.15326900308813,20.68732327816383,0.027805542040542783
MIT,b1c37,646,99.88443055843385,82.0921442331908,17.792286325243055,0.0275422388935651
MIT,b4c39,761,99.94745505372205,79.18619572873351,20.761259324988544,0.027281549704321346
MIT,b1c32,729,99.89576085815125,81.63490849949854,18.260852358652713,0.025049180190195766
MIT,b1c19,786,99.89068419450868,81.09527164724511,18.795412547263567,0.023912738609750087
MIT,b3c21,770,99.98450406162122,82.41388892998252,17.570615131638704,0.022818980690439875
MIT,b1c28,858,99.87788504346169,81.606029922937,18.27185512052469,0.021295868438839967
MIT,b3c8,826,99.917231143387,82.66947486444958,17.247756278937416,0.020881060870384282
MIT,b3c12,930,99.9338342590986,81.94503089424691,17.98880336485169,0.01934279931704483
MIT,b3c30,933,99.91650402512117,82.29446396724707,17.622040057874102,0.018887502741558523
MIT,b3c44,938,99.94279346703823,82.2607876077364,17.682005859301825,0.01885075251524715
MIT,b1c23,1012,99.88351325216064,81.50134824595686,18.382165006203778,0.018164194670161834
MIT,b1c41,1049,99.8775599863036,81.558324333386,18.319235652917598,0.017463523024706957
MIT,b3c26,1026,99.94800369913078,82.06741189414683,17.88059180498395,0.01742747739277188
MIT,b3c4,1046,99.94708512966332,82.01102787648188,17.936057253181446,0.017147282268815914
MIT,b1c5,1072,99.9510984550177,81.78458409677175,18.166514358245948,0.016946375334184652
MIT,b1c13,895,99.88279057410881,85.39201284965337,14.490777724455441,0.016190813099950213
MIT,b3c35,1091,99.96143977959574,82.73407943254998,17.22736034704576,0.01579043111553232
MIT,b2c9,1059,99.91158776463753,85.2815464878409,14.630041276796632,0.013814958712744695
MIT,b3c17,1313,99.93477939411181,82.50346859299849,17.431310801113327,0.01327594120419903
