dataset,battery_id,cycle_idx,v_range,n_samples,n_peaks_found,max_prominence,relative_prominence,curve_median
NASA,B0018,1,1.71603509918699,366,1,101617.74962057211,14159.548858885037,7.176623395218415
NASA,B0018,2,1.7752653589496945,362,1,5272.907198697805,1394.419144963739,3.781436318016492
NASA,B0018,3,1.7944152419923185,358,2,32898.20236872349,9967.991631544828,3.3003842273147024
NASA,B0018,4,1.7889271868227192,355,3,2079553.0954435766,701236.5650595499,2.9655514249542048
NASA,B0018,5,1.8047626944181947,354,3,11332.041988671908,3005.404772633397,3.7705543322662445
NASA,B0018,6,1.8188325112183206,351,3,18627.942651527846,2195.856753322132,8.483223061408538
NASA,B0018,7,1.6938749477000208,348,3,15752.138372650226,5471.6134231463675,2.878883639794967
NASA,B0018,8,1.752851826737099,345,2,52699.64085782421,14125.834580355415,3.7307275930433854
NASA,B0018,9,1.7732968500095936,342,2,21707.860697677155,4573.279295924667,4.746672855175967
NASA,B0018,10,1.8143618339177041,343,3,26369.71483385207,3234.4036834757353,8.152883007565835
MIT,b1c4,1,1.5925636,414,2,248657.58527979162,337.5685474701076,736.613606756338
MIT,b1c4,2,1.5897588999999999,440,1,5886.692160320787,8.651487651867734,680.4254247581664
MIT,b1c4,3,1.5905227999999998,447,1,6073.285683224174,8.550178716015326,710.310963657375
MIT,b1c4,4,1.5902205,453,1,6923.275730062245,9.471265143544484,730.9768679395072
MIT,b1c4,5,1.5897541000000002,440,1,7600.317206356096,10.730669050759543,708.2799003858381
MIT,b1c4,6,1.5901471000000003,429,1,6166.3324630737025,8.78999493185424,701.5171807117449
MIT,b1c4,7,1.5915862,444,2,27874.268780069302,38.69605589578512,720.3387563606126
MIT,b1c4,8,1.5899325,455,1,48596.407101910714,67.0350380170115,724.9403974308384
MIT,b1c4,9,1.5919342000000003,448,1,5235.906447389066,7.4036095464913,707.2099648830144
MIT,b1c4,10,1.5901355,441,1,8566.17817943701,11.817905521875359,724.8474074842532
MIT,b3c0,1,1.5847377000000002,327,2,25607.709991248557,33.39447242464655,766.8248105730089
MIT,b3c0,2,1.5856676,325,1,7477.6545475998555,9.927866931950156,753.1985066726788
MIT,b3c0,3,1.5877161,325,2,6403.973262813762,8.351922487442474,766.7663669573201
MIT,b3c0,4,1.5845832999999998,323,1,7579.796928551392,10.169118909853083,745.3740088727835
MIT,b3c0,5,1.5871573,324,1,8431.22253254788,11.041634341341677,763.5846534936379
MIT,b3c0,6,1.5838366,322,1,7377.116809476647,9.751207535623049,756.5336685243198
MIT,b3c0,7,1.5863724000000001,323,0,0.0,0.0,763.3251408390436
MIT,b3c0,8,1.5840731000000001,323,1,9480.64295298816,12.777582566746583,741.9746969703469
MIT,b3c0,9,1.5894746999999998,323,2,18111.02487869386,23.791521801146054,761.2386055017989
MIT,b3c0,10,1.5849103999999998,323,1,8182.314910514112,10.986872329152957,744.7355958430389
MIT,b3c35,1,1.5890464,328,2,7424.039083288715,8.96370156319747,828.2336299281587
MIT,b3c35,2,1.5861168,322,1,9106.948125228244,11.207320152426604,812.5892721325718
MIT,b3c35,3,1.5876332,322,1,8951.516785781569,11.048438332560657,810.2065211686672
MIT,b3c35,4,1.5859813999999999,321,1,7839.531219164113,9.515525954905861,823.8673570232678
MIT,b3c35,5,1.5860596,320,2,8947.80620542493,11.087350279825182,807.0283683284988
MIT,b3c35,6,1.5898485000000002,319,1,8786.522847852724,10.877154239547085,807.7961068066743
MIT,b3c35,7,1.5853834999999998,320,1,10082.359526806402,12.321533484668286,818.2714870141435
MIT,b3c35,8,1.5848942000000001,319,1,9041.454043538444,11.304075713175973,799.8401879941823
MIT,b3c35,9,1.5846605999999999,318,0,0.0,0.0,811.9677197139721
MIT,b3c35,10,1.5867767000000002,320,2,8759.711204335174,11.246002918050154,778.9177424331219
MIT,b4c38,1,1.5853605,320,1,7766.399419562999,9.927864796777918,782.2829559558115
MIT,b4c38,2,1.5863428000000002,322,1,8201.64515903889,10.488936620382232,781.932950485263
MIT,b4c38,3,1.5859957000000002,319,2,11684.779527179548,15.055412832595492,776.1181747116584
MIT,b4c38,4,1.5849820000000001,319,2,9523.121879661445,11.916645866817202,799.1444896560515
MIT,b4c38,5,1.5828752000000001,319,2,10007.998713918583,12.944432189933535,773.1508471795723
MIT,b4c38,6,1.5882797000000002,321,1,7868.641542192456,10.087640937566468,780.0279164258786
MIT,b4c38,7,1.5882358,320,2,16565.972457060598,21.31956929742555,777.0312911077292
MIT,b4c38,8,1.5841971000000001,320,1,7605.152054773341,9.823040790638089,774.2156646658391
MIT,b4c38,9,1.5869312000000002,320,1,6478.540023762,8.110580613412038,798.7763555473045
MIT,b4c38,10,1.5862484,323,2,89228.20922005462,113.20205940341283,788.2207239884485
