pool,battery_id,channel,frac_cycles_fully_saturated,frac_values_clipped,n_cycles
original_32,B0005,V_t,0.0,0.2992559523809524,168
original_32,B0005,I_t,0.0,0.7228869047619048,168
original_32,B0005,T_t,0.0,0.17166666666666666,168
original_32,B0005,dQdV,0.0,0.43702380952380954,168
original_32,B0005,dVdQ,0.0,0.07508928571428572,168
original_32,B0005,dIdV,0.0,5.9523809523809524e-05,168
original_32,B0006,V_t,0.0,0.2573511904761905,168
original_32,B0006,I_t,0.0,0.16238095238095238,168
original_32,B0006,T_t,0.0,0.20464285714285715,168
original_32,B0006,dQdV,0.0,0.37181547619047617,168
original_32,B0006,dVdQ,0.0,0.028988095238095236,168
original_32,B0006,dIdV,0.0,2.9761904761904762e-05,168
original_32,B0007,V_t,0.0,0.32901785714285714,168
original_32,B0007,I_t,0.0,0.0,168
original_32,B0007,T_t,0.0,0.19732142857142856,168
original_32,B0007,dQdV,0.0,0.3486904761904762,168
original_32,B0007,dVdQ,0.0,0.017380952380952382,168
original_32,B0007,dIdV,0.0,0.0,168
original_32,B0018,V_t,0.0,0.2929924242424242,132
original_32,B0018,I_t,0.0,0.018977272727272728,132
original_32,B0018,T_t,0.0,0.3059469696969697,132
original_32,B0018,dQdV,0.0,0.4190151515151515,132
original_32,B0018,dVdQ,0.0,0.01871212121212121,132
original_32,B0018,dIdV,0.0,0.0,132
original_32,b1c20,V_t,0.0,0.01881578947368421,532
original_32,b1c20,I_t,0.0,0.0010244360902255639,532
original_32,b1c20,T_t,0.0,0.0,532
original_32,b1c20,dQdV,0.0,0.008092105263157895,532
original_32,b1c20,dVdQ,0.0,0.01512218045112782,532
original_32,b1c20,dIdV,0.0,0.01869360902255639,532
original_32,b1c43,V_t,0.0,0.008305084745762711,649
original_32,b1c43,I_t,0.0,0.031902927580893685,649
original_32,b1c43,T_t,0.0,0.009322033898305085,649
original_32,b1c43,dQdV,0.0,0.010400616332819723,649
original_32,b1c43,dVdQ,0.0,0.017380585516178736,649
original_32,b1c43,dIdV,0.0,0.02022342064714946,649
original_32,b1c32,V_t,0.0,0.01551440329218107,729
original_32,b1c32,I_t,0.0,0.003017832647462277,729
original_32,b1c32,T_t,0.0,0.0012002743484224967,729
original_32,b1c32,dQdV,0.0,0.00874485596707819,729
original_32,b1c32,dVdQ,0.0,0.016289437585733882,729
original_32,b1c32,dIdV,0.0,0.023676268861454047,729
original_32,b1c17,V_t,0.0,0.025017543859649122,855
original_32,b1c17,I_t,0.0,0.002631578947368421,855
original_32,b1c17,T_t,0.0,0.002,855
original_32,b1c17,dQdV,0.0,0.006736842105263158,855
original_32,b1c17,dVdQ,0.0,0.017994152046783625,855
original_32,b1c17,dIdV,0.0,0.01843859649122807,855
original_32,b1c22,V_t,0.0,0.015708661417322835,889
original_32,b1c22,I_t,0.0,0.0034420697412823396,889
original_32,b1c22,T_t,0.0,0.005191226096737908,889
original_32,b1c22,dQdV,0.0,0.006541057367829021,889
original_32,b1c22,dVdQ,0.0,0.016760404949381327,889
original_32,b1c22,dIdV,0.0,0.018070866141732284,889
original_32,b1c41,V_t,0.0,0.00784556720686368,1049
original_32,b1c41,I_t,0.0,0.03098188751191611,1049
original_32,b1c41,T_t,0.0,0.009947569113441372,1049
original_32,b1c41,dQdV,0.0,0.008560533841754052,1049
original_32,b1c41,dVdQ,0.0,0.017330791229742612,1049
original_32,b1c41,dIdV,0.0,0.019437559580552908,1049
original_32,b1c4,V_t,0.0,0.021310204081632655,1225
original_32,b1c4,I_t,0.0,0.03302857142857143,1225
original_32,b1c4,T_t,0.0,0.024702040816326532,1225
original_32,b1c4,dQdV,0.0,0.0028612244897959186,1225
original_32,b1c4,dVdQ,0.0,0.017787755102040816,1225
original_32,b1c4,dIdV,0.0,0.018620408163265306,1225
original_32,b2c1,V_t,0.0,0.016893491124260356,169
original_32,b2c1,I_t,0.0,0.004497041420118343,169
original_32,b2c1,T_t,0.0,0.022781065088757397,169
original_32,b2c1,dQdV,0.0,0.0022189349112426036,169
original_32,b2c1,dVdQ,0.0,0.020088757396449705,169
original_32,b2c1,dIdV,0.0,0.018609467455621302,169
original_32,b2c44,V_t,0.0,0.008640167364016736,478
original_32,b2c44,I_t,0.0,0.026673640167364017,478
original_32,b2c44,T_t,0.0,0.019246861924686193,478
original_32,b2c44,dQdV,0.0,0.013326359832635984,478
original_32,b2c44,dVdQ,0.0,0.023336820083682007,478
original_32,b2c44,dIdV,0.0,0.018985355648535564,478
original_32,b2c42,V_t,0.0,0.008156822810590632,491
original_32,b2c42,I_t,0.0,0.023594704684317718,491
original_32,b2c42,T_t,0.0,0.03157841140529532,491
original_32,b2c42,dQdV,0.0,0.014317718940936863,491
original_32,b2c42,dVdQ,0.0,0.02139511201629328,491
original_32,b2c42,dIdV,0.0,0.019409368635437883,491
original_32,b2c13,V_t,0.0,0.014990366088631985,519
original_32,b2c13,I_t,0.0,0.0030154142581888246,519
original_32,b2c13,T_t,0.0,0.020626204238921003,519
original_32,b2c13,dQdV,0.0,0.008314065510597303,519
original_32,b2c13,dVdQ,0.0,0.022745664739884392,519
original_32,b2c13,dIdV,0.0,0.01758188824662813,519
original_32,b2c24,V_t,0.0,0.035210325047801146,523
original_32,b2c24,I_t,0.0,0.026739961759082217,523
original_32,b2c24,T_t,0.0,0.1191300191204589,523
original_32,b2c24,dQdV,0.0,0.006998087954110899,523
original_32,b2c24,dVdQ,0.0,0.023260038240917782,523
original_32,b2c24,dIdV,0.0,0.01673996175908222,523
original_32,b2c32,V_t,0.0,0.041169429097605896,543
original_32,b2c32,I_t,0.0,0.0016298342541436464,543
original_32,b2c32,T_t,0.0,0.03501841620626151,543
original_32,b2c32,dQdV,0.0,0.007900552486187845,543
original_32,b2c32,dVdQ,0.0,0.02258747697974217,543
original_32,b2c32,dIdV,0.0,0.016786372007366483,543
original_32,b2c9,V_t,0.0,0.028182247403210577,1059
original_32,b2c9,I_t,0.0,0.030892351274787535,1059
original_32,b2c9,T_t,0.0,0.043715769593956566,1059
original_32,b2c9,dQdV,0.0,0.0023701605288007554,1059
original_32,b2c9,dVdQ,0.0,0.015118035882908405,1059
original_32,b2c9,dIdV,0.0,0.016388101983002834,1059
original_32,b3c28,V_t,0.0,0.001706864564007421,539
original_32,b3c28,I_t,0.0,0.0017996289424860854,539
original_32,b3c28,T_t,0.0,0.1293320964749536,539
original_32,b3c28,dQdV,0.0,0.0046289424860853435,539
original_32,b3c28,dVdQ,0.0,0.017606679035250462,539
original_32,b3c28,dIdV,0.0,0.031224489795918367,539
original_32,b3c13,V_t,0.0,0.0009336609336609336,814
original_32,b3c13,I_t,0.0,0.0010503685503685503,814
original_32,b3c13,T_t,0.0,0.0033353808353808355,814
original_32,b3c13,dQdV,0.0,0.0033660933660933662,814
original_32,b3c13,dVdQ,0.0,0.020393120393120395,814
original_32,b3c13,dIdV,0.0,0.019318181818181818,814
original_32,b3c14,V_t,0.0,0.0013376168224299065,856
original_32,b3c14,I_t,0.0,0.0013551401869158878,856
original_32,b3c14,T_t,0.0,0.0,856
original_32,b3c14,dQdV,0.0,0.003136682242990654,856
original_32,b3c14,dVdQ,0.0,0.01893107476635514,856
original_32,b3c14,dIdV,0.0,0.016904205607476637,856
original_32,b3c0,V_t,0.0,0.0014697120158887785,1007
original_32,b3c0,I_t,0.0,0.002135054617676266,1007
original_32,b3c0,T_t,0.0,0.0,1007
original_32,b3c0,dQdV,0.0,0.0036742800397219465,1007
original_32,b3c0,dVdQ,0.0,0.019285004965243296,1007
original_32,b3c0,dIdV,0.0,0.022442899702085402,1007
original_32,b3c35,V_t,0.0,0.0014344637946837764,1091
original_32,b3c35,I_t,0.0,0.005476626947754354,1091
original_32,b3c35,T_t,0.0,0.08247479376718607,1091
original_32,b3c35,dQdV,0.0,0.010325389550870761,1091
original_32,b3c35,dVdQ,0.0,0.02076993583868011,1091
