global_id,n_cycles,initial_cap_measured,eol_project,censored_project,published_cycle_life,eol_severson,censored_severson
b1c0,1188,1.0719005,1189,True,1190.0,1188.0,False
b1c1,1177,1.0766124,1178,True,1179.0,1177.0,False
b1c2,1175,1.0813154,1176,True,1177.0,1175.0,False
b1c3,1224,1.0812283,1225,True,1226.0,1224.0,False
b1c4,1225,1.0790124,1226,True,1227.0,1225.0,False
b1c5,1072,1.0766531,1073,True,1074.0,1072.0,False
b1c6,634,1.0772603,635,True,636.0,634.0,False
b1c7,868,1.0951102,869,True,870.0,868.0,False
b1c8,877,1.0912893,878,True,879.0,877.0,False
b1c9,1052,1.0836858,1053,True,1054.0,1052.0,False
b1c10,904,1.0762031,905,True,906.0,904.0,False
b1c11,786,1.0550324,787,True,788.0,786.0,False
b1c12,900,1.0786488,901,True,902.0,900.0,False
b1c13,895,1.0810564,896,True,897.0,895.0,False
b1c14,878,1.0721085,879,True,880.0,878.0,False
b1c15,717,1.0627433,718,True,719.0,717.0,False
b1c16,860,1.0823848,861,True,862.0,860.0,False
b1c17,855,1.0732841,856,True,857.0,855.0,False
b1c18,689,1.0667928,690,True,691.0,689.0,False
b1c19,786,1.0863022,787,True,788.0,786.0,False
b1c20,532,1.0737344,533,True,534.0,532.0,False
b1c21,557,1.0836138,558,True,559.0,557.0,False
b1c22,889,1.0806096,890,True,891.0,889.0,False
b1c23,1012,1.0805521,1013,True,1014.0,1012.0,False
b1c24,1015,1.0755144,1016,True,1017.0,1015.0,False
b1c25,852,1.0763277,853,True,854.0,852.0,False
b1c26,868,1.0887769,869,True,870.0,868.0,False
b1c27,840,1.0801724,841,True,842.0,840.0,False
b1c28,858,1.0790652,859,True,860.0,858.0,False
b1c29,915,1.0806577,916,True,917.0,915.0,False
b1c30,707,1.0811634,708,True,709.0,707.0,False
b1c31,874,1.0959352,875,True,876.0,874.0,False
b1c32,729,1.0789613,730,True,731.0,729.0,False
b1c33,755,1.0938309,756,True,757.0,755.0,False
b1c34,740,1.0778389,741,True,742.0,740.0,False
b1c35,701,1.0719526,702,True,703.0,701.0,False
b1c36,702,1.0791167,703,True,704.0,702.0,False
b1c37,646,1.076063,647,True,648.0,646.0,False
b1c38,615,1.0740083,616,True,617.0,615.0,False
b1c39,623,1.083198,624,True,625.0,623.0,False
b1c40,964,1.0846047,965,True,966.0,964.0,False
b1c41,1049,1.0802841,1050,True,1051.0,1049.0,False
b1c42,700,1.0813485,701,True,702.0,700.0,False
b1c43,649,1.0693892,650,True,651.0,649.0,False
b1c44,614,1.0860728,615,True,616.0,614.0,False
b1c45,597,1.0852593,598,True,599.0,597.0,False
b3c0,1007,1.0682849,1008,True,1009.0,1007.0,False
b3c1,1061,1.0661838,1062,True,1063.0,1061.0,False
b3c2,1265,1.0610899,1266,True,1267.0,1265.0,False
b3c3,1113,1.0632294,1114,True,1115.0,1113.0,False
b3c4,1046,1.0730443,1047,True,1048.0,1046.0,False
b3c5,826,1.0520495,827,True,828.0,826.0,False
b3c6,665,1.0629802,666,True,667.0,665.0,False
b3c7,1834,1.0682656,1835,True,1836.0,1834.0,False
b3c8,826,1.0656182,827,True,828.0,826.0,False
b3c9,1037,1.0703384,1038,True,1039.0,1037.0,False
b3c10,1076,1.0624784,1077,True,1078.0,1076.0,False
b3c11,815,1.0686512,816,True,817.0,815.0,False
b3c12,930,1.0748765,931,True,932.0,930.0,False
b3c13,814,1.0665193,815,True,816.0,814.0,False
b3c14,856,1.0742604,857,True,858.0,856.0,False
b3c15,874,1.0689965,875,True,876.0,874.0,False
b3c16,1636,1.0615807,1637,True,1638.0,1636.0,False
b3c17,1313,1.0671474,1314,True,1315.0,1313.0,False
b3c18,1144,1.0685793,1145,True,1146.0,1144.0,False
b3c19,1153,1.0726638,1154,True,1155.0,1153.0,False
b3c20,811,1.065752,812,True,813.0,811.0,False
b3c21,770,1.0680218,771,True,772.0,770.0,False
b3c22,1000,1.0569252,1001,True,1002.0,1000.0,False
b3c23,2188,1.0665785,2189,True,,,False
b3c24,823,1.0472243,824,True,825.0,823.0,False
b3c25,987,1.061978,988,True,989.0,987.0,False
b3c26,1026,1.0725763,1027,True,1028.0,1026.0,False
b3c27,848,1.0613309,849,True,850.0,848.0,False
b3c28,539,1.0522791,540,True,541.0,539.0,False
b3c29,856,1.067315,857,True,858.0,856.0,False
b3c30,933,1.0696324,934,True,935.0,933.0,False
b3c31,729,1.0689309,730,True,731.0,729.0,False
b3c32,2236,1.073159,2237,True,,,False
b3c33,1282,1.0607876,1283,True,1284.0,1282.0,False
b3c34,1156,1.0620755,1157,True,1158.0,1156.0,False
b3c35,1091,1.0637906,1092,True,1093.0,1091.0,False
b3c36,921,1.0580546,922,True,923.0,921.0,False
b3c37,1388,1.047855,1389,True,1390.0,1388.0,False
b3c38,1933,1.0708532,1934,True,1935.0,1933.0,False
b3c39,1154,1.048004,1155,True,1156.0,1154.0,False
b3c40,794,1.0598956,795,True,796.0,794.0,False
b3c41,784,1.0514336,785,True,786.0,784.0,False
b3c42,1640,1.0676856,1641,True,1642.0,1640.0,False
b3c43,1044,1.0708117,1045,True,1046.0,1044.0,False
b3c44,938,1.0703323,939,True,940.0,938.0,False
b3c45,1799,1.0701143,1800,True,1801.0,1799.0,False
