stacking,variant,dropped,rmse,mae,r2
in-sample (original),full_4_branch,none,1.480819904695252,0.9978738504644759,0.9062524838327654
in-sample (original),drop_pred_XGBoost,pred_XGBoost,2.1123050483073276,1.2887798036051488,0.8092482385354841
in-sample (original),drop_pred_VLSTM,pred_VLSTM,1.4825290685515722,0.9954235144895135,0.9060359519851279
in-sample (original),drop_pred_CNNLSTM,pred_CNNLSTM,1.4805704510679203,0.9925094698234732,0.9062840659153062
in-sample (original),drop_pred_PiFormer,pred_PiFormer,1.4810156116460977,0.9982758369181419,0.9062277026249171
out-of-fold (corrected),full_4_branch,none,1.5036060700321794,1.0350246371516476,0.9033452006334256
out-of-fold (corrected),drop_pred_XGBoost,pred_XGBoost,2.5565040745417864,1.7219953376181167,0.7205859363127977
out-of-fold (corrected),drop_pred_VLSTM,pred_VLSTM,1.488700978063172,1.0351875733974731,0.905251960923212
out-of-fold (corrected),drop_pred_CNNLSTM,pred_CNNLSTM,1.499165792907748,1.0349184574052261,0.9039152174872542
out-of-fold (corrected),drop_pred_PiFormer,pred_PiFormer,1.483078757050939,1.0317981959796596,0.9059662595478581
