dataset,pool_a,pool_b,point_delta,ci_lo,ci_hi,significant,n_batteries
CALCE,42-battery (deployed),204-battery,0.2812274341418821,0.18301052471271906,0.3372054583425299,True,3
CALCE,42-battery (deployed),NASA-heavy,0.23708097464311928,0.2055463947851185,0.29175814184421434,True,3
CALCE,204-battery,NASA-heavy,-0.044146459498762836,-0.09413556868475847,0.03463534872871421,False,3
Oxford,42-battery (deployed),204-battery,-2.9914584552696555,-3.6145983707357328,-2.1628843082739024,True,8
Oxford,42-battery (deployed),NASA-heavy,-9.354118268944294,-11.333799199177145,-8.153863814497393,True,8
Oxford,204-battery,NASA-heavy,-6.362659813674638,-8.997071709632737,-4.904045102231318,True,8
HUST,42-battery (deployed),204-battery,0.5204498698848016,0.42191083499386284,0.6286778241920594,True,77
HUST,42-battery (deployed),NASA-heavy,0.13982871337132297,-0.04593702596726419,0.3281863464976687,False,77
HUST,204-battery,NASA-heavy,-0.3806211565134786,-0.5280166312864639,-0.24452517353223294,True,77
XJTU,42-battery (deployed),204-battery,-1.9438887439904553,-2.277684877740492,-1.7230711983990328,True,47
XJTU,42-battery (deployed),NASA-heavy,-4.502014797056743,-5.092499419071129,-3.924455512483365,True,47
XJTU,204-battery,NASA-heavy,-2.558126053066288,-3.090515965296073,-1.999786460076247,True,47
