dataset,pool,n_batteries,point_r2,ci_lo,ci_hi,ci_width
CALCE,42-battery (deployed),3,0.5678764724775478,0.4678045128751045,0.655161373220089,0.18735686034498455
CALCE,204-battery,3,0.8491039066194299,0.8050099712176344,0.8920208692618395,0.08701089804420514
CALCE,NASA-heavy,3,0.8049574471206671,0.7595626547193188,0.8728072466615223,0.11324459194220349
Oxford,42-battery (deployed),8,-2.693905642946283,-3.4840398360358167,-2.203105968497853,1.2809338675379638
Oxford,204-battery,8,-5.685364098215938,-6.3977460615213735,-4.944230454363467,1.4535156071579065
Oxford,NASA-heavy,8,-12.048023911890576,-14.822532776458559,-10.401612223853899,4.4209205526046595
HUST,42-battery (deployed),77,-0.15226217104808715,-0.29743198433008106,-0.013453682272713928,0.2839783020573671
HUST,204-battery,77,0.3681876988367144,0.30779429475246806,0.4351337590541596,0.12733946430169152
HUST,NASA-heavy,77,-0.012433457676764181,-0.1586957962904172,0.12387534162790621,0.2825711379183234
XJTU,42-battery (deployed),47,-1.0619869577448373,-1.6033103117053351,-0.6486682536714284,0.9546420580339067
XJTU,204-battery,47,-3.0058757017352926,-3.840787763977411,-2.429495369162968,1.411292394814443
XJTU,NASA-heavy,47,-5.5640017548015805,-6.649418420982813,-4.613798827987271,2.035619592995542
