dataset,battery_id,cycle_idx,SOH,y_pred_soh_fusion,true_grade,pred_grade
NASA,B0025,28,95.7056131686318,97.86351776123048,Primary EV use,Primary EV use
NASA,B0030,39,88.6951020341852,90.49234008789062,Primary EV use,Primary EV use
NASA,B0044,106,78.72060911185184,79.81836700439453,Second-life candidate,Second-life candidate
NASA,B0053,54,87.83826244717416,73.52970886230469,Primary EV use,Second-life candidate
MIT,b1c13,895,85.39201284965337,85.63861846923828,Primary EV use,Primary EV use
MIT,b1c19,786,81.09527164724511,80.33000183105469,Primary EV use,Primary EV use
MIT,b1c23,1012,81.50134824595686,81.70100402832031,Primary EV use,Primary EV use
MIT,b1c28,858,81.606029922937,81.59174346923828,Primary EV use,Primary EV use
MIT,b1c32,729,81.63490849949854,82.23918151855469,Primary EV use,Primary EV use
MIT,b1c37,646,82.0921442331908,82.51191711425781,Primary EV use,Primary EV use
MIT,b1c41,1049,81.558324333386,82.46587371826172,Primary EV use,Primary EV use
MIT,b1c5,1072,81.78458409677175,81.60223388671875,Primary EV use,Primary EV use
MIT,b2c0,325,77.10457832494254,77.2577896118164,Second-life candidate,Second-life candidate
MIT,b2c14,508,76.53345736270958,76.44950866699219,Second-life candidate,Second-life candidate
MIT,b2c19,488,78.7923578674156,77.54379272460938,Second-life candidate,Second-life candidate
MIT,b2c23,561,76.72675419660894,78.26644134521484,Second-life candidate,Second-life candidate
MIT,b2c28,540,77.03390480343283,77.94441223144531,Second-life candidate,Second-life candidate
MIT,b2c32,543,76.93138345275379,76.94068908691406,Second-life candidate,Second-life candidate
MIT,b2c37,501,76.81321736493084,77.45429992675781,Second-life candidate,Second-life candidate
MIT,b2c41,451,77.21397446407009,79.20857238769531,Second-life candidate,Second-life candidate
MIT,b2c47,744,79.15326900308813,78.6827392578125,Second-life candidate,Second-life candidate
MIT,b2c9,1059,85.2815464878409,85.14459228515625,Primary EV use,Primary EV use
MIT,b3c12,930,81.94503089424691,82.55584716796875,Primary EV use,Primary EV use
MIT,b3c17,1313,82.50346859299849,83.39584350585938,Primary EV use,Primary EV use
MIT,b3c21,770,82.41388892998252,82.6432876586914,Primary EV use,Primary EV use
MIT,b3c26,1026,82.06741189414683,83.62799072265625,Primary EV use,Primary EV use
MIT,b3c30,933,82.29446396724707,83.14643859863281,Primary EV use,Primary EV use
MIT,b3c35,1091,82.73407943254998,82.55614471435547,Primary EV use,Primary EV use
MIT,b3c4,1046,82.01102787648188,81.52436828613281,Primary EV use,Primary EV use
MIT,b3c44,938,82.2607876077364,83.0066146850586,Primary EV use,Primary EV use
MIT,b3c8,826,82.66947486444958,83.09770965576172,Primary EV use,Primary EV use
MIT,b4c11,930,73.47852888435722,75.68132781982422,Second-life candidate,Second-life candidate
MIT,b4c16,983,70.92014082465096,72.26492309570312,Second-life candidate,Second-life candidate
MIT,b4c20,804,75.43856313648563,76.71900939941406,Second-life candidate,Second-life candidate
MIT,b4c25,567,51.28625381047654,50.77725601196289,Second-life candidate,Second-life candidate
MIT,b4c3,911,49.29461985626112,50.62972640991211,Recycle only,Second-life candidate
MIT,b4c34,997,68.46041920967365,72.04032135009766,Second-life candidate,Second-life candidate
MIT,b4c39,761,79.18619572873351,78.61775207519531,Second-life candidate,Second-life candidate
MIT,b4c43,951,43.54516292548929,39.04066848754883,Recycle only,Recycle only
MIT,b4c8,718,75.83239264184752,76.07086181640625,Second-life candidate,Second-life candidate
