dataset,battery_id,Recycle only,Second-life candidate,Primary EV use
MIT,b1c13,0.0,0.0,100.0
MIT,b1c19,0.0,0.0,100.0
MIT,b1c23,0.0,0.0,100.0
MIT,b1c28,0.0,0.0,100.0
MIT,b1c32,0.0,0.0,100.0
MIT,b1c37,0.0,0.0,100.0
MIT,b1c41,0.0,0.0,100.0
MIT,b1c5,0.0,0.0,100.0
MIT,b2c0,0.0,4.9,95.1
MIT,b2c14,0.0,3.3,96.7
MIT,b2c19,0.0,1.4,98.6
MIT,b2c23,0.0,4.1,95.9
MIT,b2c28,0.0,3.3,96.7
MIT,b2c32,0.0,2.9,97.1
MIT,b2c37,0.0,3.2,96.8
MIT,b2c41,0.0,3.1,96.9
MIT,b2c47,0.0,0.7,99.3
MIT,b2c9,0.0,0.0,100.0
MIT,b3c12,0.0,0.0,100.0
MIT,b3c17,0.0,0.0,100.0
MIT,b3c21,0.0,0.0,100.0
MIT,b3c26,0.0,0.0,100.0
MIT,b3c30,0.0,0.0,100.0
MIT,b3c35,0.0,0.0,100.0
MIT,b3c4,0.0,0.0,100.0
MIT,b3c44,0.0,0.0,100.0
MIT,b3c8,0.0,0.0,100.0
MIT,b4c11,0.0,4.9,95.1
MIT,b4c16,0.0,5.3,94.7
MIT,b4c20,0.0,3.6,96.4
MIT,b4c25,0.0,17.5,82.5
MIT,b4c3,0.3,11.7,87.9
MIT,b4c34,0.0,7.5,92.5
MIT,b4c39,0.0,0.5,99.5
MIT,b4c43,3.0,15.6,81.4
MIT,b4c8,0.0,2.9,97.1
NASA,B0025,0.0,0.0,100.0
NASA,B0030,0.0,0.0,100.0
NASA,B0044,44.3,2.8,52.8
NASA,B0053,0.0,0.0,100.0
