noise_level,dataset,battery_id,n,rmse,r2
clean (baseline),NASA,B0018,132,2.138447023433258,0.9347431801067029
clean (baseline),MIT,b1c4,1225,0.7691464375955298,0.7689912492629272
clean (baseline),MIT,b2c24,523,0.42098961223197884,0.9947247546894853
clean (baseline),MIT,b3c0,1007,0.5080731966999771,0.9818448920607781
clean (baseline),MIT,b3c35,1091,0.4455275202698714,0.9887244664043177
clean (baseline),MIT,b4c38,1230,0.4153516834516412,0.9938111780881245
1x BMS-grade,NASA,B0018,132,2.7111265139486527,0.8951113531110932
1x BMS-grade,MIT,b1c4,1225,0.8134953094586103,0.7415833619549063
1x BMS-grade,MIT,b2c24,523,1.8183362015110978,0.9015879517741238
1x BMS-grade,MIT,b3c0,1007,0.6491726882923078,0.9703607816143801
1x BMS-grade,MIT,b3c35,1091,0.46892338821093277,0.9875091549557519
1x BMS-grade,MIT,b4c38,1230,0.6225640841598432,0.9860958590808111
2x BMS-grade,NASA,B0018,132,2.972963930015984,0.8738729626699782
2x BMS-grade,MIT,b1c4,1225,1.0551531541273247,0.5652482200791069
2x BMS-grade,MIT,b2c24,523,1.9388611183953661,0.8881094771662214
2x BMS-grade,MIT,b3c0,1007,0.7103492768717606,0.9645112950102701
2x BMS-grade,MIT,b3c35,1091,0.49216568450224474,0.986240245292238
2x BMS-grade,MIT,b4c38,1230,0.8481761112260574,0.9741923708994695
5x BMS-grade (stress),NASA,B0018,132,2.9776580782864936,0.8734743527691664
5x BMS-grade (stress),MIT,b1c4,1225,1.9141704722063966,-0.4307758162661022
5x BMS-grade (stress),MIT,b2c24,523,3.16123353835062,0.7025506241636402
5x BMS-grade (stress),MIT,b3c0,1007,1.0798313540047078,0.9179916387651349
5x BMS-grade (stress),MIT,b3c35,1091,1.0765057223839989,0.9341704755807942
5x BMS-grade (stress),MIT,b4c38,1230,1.4159996644276298,0.9280712792407686
