condition,noise_level,dataset,battery_id,n,rmse,r2
clean-trained,clean (baseline),NASA,B0018,132,2.0437001432447843,0.9403976662486039
clean-trained,clean (baseline),MIT,b1c4,1225,0.7414390440343296,0.7853349855299638
clean-trained,clean (baseline),MIT,b2c24,523,0.445235516538061,0.9940996265260712
clean-trained,clean (baseline),MIT,b3c0,1007,0.4575815670060853,0.9852740504265832
clean-trained,clean (baseline),MIT,b3c35,1091,0.39571757650412454,0.991104738632151
clean-trained,clean (baseline),MIT,b4c38,1230,0.515850170313188,0.9904539612671003
clean-trained,1x BMS-grade,NASA,B0018,132,2.587471170119586,0.9044611623237536
clean-trained,1x BMS-grade,MIT,b1c4,1225,0.7755062560671351,0.7651551844912736
clean-trained,1x BMS-grade,MIT,b2c24,523,1.6827958249596897,0.9157125816488993
clean-trained,1x BMS-grade,MIT,b3c0,1007,0.61436363378378,0.9734541114068824
clean-trained,1x BMS-grade,MIT,b3c35,1091,0.41849227660895516,0.9900513780740007
clean-trained,1x BMS-grade,MIT,b4c38,1230,0.6744988747957272,0.983679310791691
clean-trained,2x BMS-grade,NASA,B0018,132,2.7248714883005403,0.8940451200701343
clean-trained,2x BMS-grade,MIT,b1c4,1225,1.0010321345947233,0.6087031028428618
clean-trained,2x BMS-grade,MIT,b2c24,523,1.7408031902103196,0.9098015139555946
clean-trained,2x BMS-grade,MIT,b3c0,1007,0.7494774850809649,0.960493964636847
clean-trained,2x BMS-grade,MIT,b3c35,1091,0.4907988726803157,0.9863165646342233
clean-trained,2x BMS-grade,MIT,b4c38,1230,0.9360007032002656,0.9685711575653044
clean-trained,5x BMS-grade (stress),NASA,B0018,132,2.7929610175424555,0.8886837256359509
clean-trained,5x BMS-grade (stress),MIT,b1c4,1225,1.8470090490207531,-0.33213553112023764
clean-trained,5x BMS-grade (stress),MIT,b2c24,523,2.782237869905834,0.7695968482926969
clean-trained,5x BMS-grade (stress),MIT,b3c0,1007,1.3103175737671717,0.8792465916095012
clean-trained,5x BMS-grade (stress),MIT,b3c35,1091,1.0672231199323272,0.935300863830487
clean-trained,5x BMS-grade (stress),MIT,b4c38,1230,1.5638056493641497,0.9122713207595088
noise-augmented,clean (baseline),NASA,B0018,132,1.9969300637993006,0.9430944500329815
noise-augmented,clean (baseline),MIT,b1c4,1225,0.7512253687661729,0.7796308193810522
noise-augmented,clean (baseline),MIT,b2c24,523,0.46586640569251064,0.9935401462134569
noise-augmented,clean (baseline),MIT,b3c0,1007,0.4868780516420583,0.9833280399600381
noise-augmented,clean (baseline),MIT,b3c35,1091,0.3909262572095609,0.9913188409101337
noise-augmented,clean (baseline),MIT,b4c38,1230,0.49956598910592137,0.9910471406292116
noise-augmented,1x BMS-grade,NASA,B0018,132,2.6012299657912945,0.903442411455525
noise-augmented,1x BMS-grade,MIT,b1c4,1225,0.7909473422407867,0.7557101021784064
noise-augmented,1x BMS-grade,MIT,b2c24,523,1.7093014785737488,0.9130364546468422
noise-augmented,1x BMS-grade,MIT,b3c0,1007,0.6226497813392521,0.9727332142068629
noise-augmented,1x BMS-grade,MIT,b3c35,1091,0.40535710725713076,0.990666089845595
noise-augmented,1x BMS-grade,MIT,b4c38,1230,0.6671249740128672,0.9840342092356218
noise-augmented,2x BMS-grade,NASA,B0018,132,2.8223391898990235,0.8863296160902159
noise-augmented,2x BMS-grade,MIT,b1c4,1225,0.9823461389340826,0.6231752230422165
noise-augmented,2x BMS-grade,MIT,b2c24,523,1.7597467746254614,0.90782773579743
noise-augmented,2x BMS-grade,MIT,b3c0,1007,0.7252118946902684,0.9630107007529735
noise-augmented,2x BMS-grade,MIT,b3c35,1091,0.4578523605840868,0.9880919966709273
noise-augmented,2x BMS-grade,MIT,b4c38,1230,0.9143157345559133,0.970010555387175
noise-augmented,5x BMS-grade (stress),NASA,B0018,132,2.7604382898217255,0.8912610838272468
noise-augmented,5x BMS-grade (stress),MIT,b1c4,1225,1.8449154912661707,-0.3291173303349122
noise-augmented,5x BMS-grade (stress),MIT,b2c24,523,2.729014241675004,0.7783276606686835
noise-augmented,5x BMS-grade (stress),MIT,b3c0,1007,1.184049363904434,0.9013979636515074
noise-augmented,5x BMS-grade (stress),MIT,b3c35,1091,1.0123198861854592,0.9417865191306789
noise-augmented,5x BMS-grade (stress),MIT,b4c38,1230,1.4281314277625372,0.9268334818146122
