noise_level,dataset,battery_id,n,rmse,r2
clean (baseline),NASA,B0018,132,4.356730216004753,0.7291367053985596
clean (baseline),MIT,b1c4,1225,0.2241701475494186,0.9803769588470459
clean (baseline),MIT,b2c24,523,0.7033265566687723,0.9852764010429382
clean (baseline),MIT,b3c0,1007,0.14848893930685106,0.9984492659568787
clean (baseline),MIT,b3c35,1091,0.2677958222429792,0.9959262609481812
clean (baseline),MIT,b4c38,1230,0.44751514321283925,0.9928155541419983
1x BMS-grade,NASA,B0018,132,4.4158136995657395,0.7217402458190918
1x BMS-grade,MIT,b1c4,1225,0.30551119263182236,0.9635527729988098
1x BMS-grade,MIT,b2c24,523,0.8983905945848596,0.975976824760437
1x BMS-grade,MIT,b3c0,1007,0.16888929551930304,0.9979938864707947
1x BMS-grade,MIT,b3c35,1091,0.2691499943756423,0.9958849549293518
1x BMS-grade,MIT,b4c38,1230,0.4312722545907671,0.9933276176452637
2x BMS-grade,NASA,B0018,132,4.394904715033493,0.7243691682815552
2x BMS-grade,MIT,b1c4,1225,0.303845072376858,0.9639492034912109
2x BMS-grade,MIT,b2c24,523,0.9400905104443966,0.973694920539856
2x BMS-grade,MIT,b3c0,1007,0.1967788582641779,0.9972766637802124
2x BMS-grade,MIT,b3c35,1091,0.29244346575635033,0.995141863822937
2x BMS-grade,MIT,b4c38,1230,0.3948155879856623,0.9944080114364624
5x BMS-grade (stress),NASA,B0018,132,4.329498183352584,0.7325121760368347
5x BMS-grade (stress),MIT,b1c4,1225,0.607767773235363,0.8557599782943726
5x BMS-grade (stress),MIT,b2c24,523,1.2815340704137703,0.9511167407035828
5x BMS-grade (stress),MIT,b3c0,1007,0.25380656412919583,0.9954694509506226
5x BMS-grade (stress),MIT,b3c35,1091,0.3762231389783146,0.9919595718383789
5x BMS-grade (stress),MIT,b4c38,1230,0.36868316319461725,0.9951238036155701
