dataset,feature,train_mean,train_std,target_mean,zscore,train_pctile_of_target_mean
CALCE,VIECT,3.4749107309958327,0.11640140184257759,3.8411923731642084,3.1467116063064138,96.63067758749068
CALCE,MET,0.2764879486816389,1.1574673814017826,3.228784995256837,2.550652479726675,96.37006701414744
CALCE,SCV,0.6529269748813289,0.07850235598749153,0.5917070554165643,-0.7798481802828858,10.401154132539093
CALCE,TEVI_rel,0.9287752817032311,0.4046585742176909,0.75944595162131,-0.41844987569898456,5.212211466865227
CALCE,TEVD_rel,0.9113302559182018,0.5066946731703393,0.712706628093811,-0.39199864995939676,22.97096053611318
CALCE,ICHV_rel,0.8891192427337207,0.3562627883858714,0.8481983903249783,-0.11486142741469982,25.116344005956815
CALCE,VDEDT,-723.9227653552308,372019.2824887281,-0.0021013958255250934,0.0019459224240112863,0.6608339538346985
CALCE,MATD,34.21198318843907,2.0102538442444606,,,0.0
Oxford,MATD,34.21198318843907,2.0102538442444606,40.77589528975841,3.265215544848933,99.66492926284438
Oxford,SCV,0.6529269748813289,0.07850235598749153,0.42795858854391855,-2.865753307751127,0.7213328369322413
Oxford,MET,0.2764879486816389,1.1574673814017826,2.3728126796547917,1.811130719238361,96.33749069247952
Oxford,VIECT,3.4749107309958327,0.11640140184257759,3.5994854587668597,1.0702167310622517,85.48492181682799
Oxford,TEVI_rel,0.9287752817032311,0.4046585742176909,0.8596709744348768,-0.17077188442615027,15.52029039463887
Oxford,TEVD_rel,0.9113302559182018,0.5066946731703393,0.8807534093511007,-0.06034570360841723,47.561429635145196
Oxford,ICHV_rel,0.8891192427337207,0.3562627883858714,0.880214246372028,-0.024995583743221417,32.93000744601638
Oxford,VDEDT,-723.9227653552308,372019.2824887281,-0.0024982241123819543,0.001945921357323871,0.5026061057334326
HUST,MET,0.2764879486816389,1.1574673814017826,3.6159308126601855,2.8851291342087086,96.41195085629188
HUST,SCV,0.6529269748813289,0.07850235598749153,0.7541968258461648,1.2900230788101708,96.89128816083395
HUST,TEVI_rel,0.9287752817032311,0.4046585742176909,1.2723129467450518,0.8489568414705344,99.97207743857037
HUST,VIECT,3.4749107309958327,0.11640140184257759,3.503670465775174,0.24707378368377642,82.12025316455697
HUST,TEVD_rel,0.9113302559182018,0.5066946731703393,0.883389849712427,-0.055142490508049875,48.171072226358895
HUST,ICHV_rel,0.8891192427337207,0.3562627883858714,0.8911747670252793,0.005769685632540115,36.0945644080417
HUST,VDEDT,-723.9227653552308,372019.2824887281,-0.008235009515613104,0.0019459059366570583,0.046537602382725245
HUST,MATD,34.21198318843907,2.0102538442444606,,,0.0
XJTU,SCV,0.6529269748813289,0.07850235598749153,1.3694279417390913,9.127126923068765,100.0
XJTU,MET,0.2764879486816389,1.1574673814017826,6.6277657295021655,5.487219668452892,98.70160089352197
XJTU,MATD,34.21198318843907,2.0102538442444606,25.895946651880227,-4.136809169831169,0.1721891288160834
XJTU,VIECT,3.4749107309958327,0.11640140184257759,3.7782401756939397,2.605891680826428,96.28164556962025
XJTU,TEVD_rel,0.9113302559182018,0.5066946731703393,1.9344732634503563,2.0192495830486004,93.06589724497394
XJTU,TEVI_rel,0.9287752817032311,0.4046585742176909,1.534611922386699,1.4971550815516659,99.98138495904692
XJTU,ICHV_rel,0.8891192427337207,0.3562627883858714,1.007857458197926,0.3332882898103828,95.43466120625466
XJTU,VDEDT,-723.9227653552308,372019.2824887281,-0.002512680963331768,0.0019459213184633826,0.4979523454951601
