variant,eval_set,r2,rmse,n
pretrained,in-domain (fixed split),0.4930083155632019,3.4436798033162948,5208.0
pretrained,CALCE,-3.913968563079834,47.73449007760269,2941.0
pretrained,Oxford,0.033509254455566406,6.718508693886182,519.0
pretrained,HUST,-5.362984657287598,18.609880083405965,146122.0
pretrained,XJTU,-256.0610046386719,96.41311766462331,19238.0
random_init,in-domain (fixed split),0.4524654150009155,3.5787234409744464,5208.0
random_init,CALCE,-4.162611484527588,48.927251880342716,2941.0
random_init,Oxford,-20.618377685546875,31.775002074522945,519.0
random_init,HUST,-2.767566442489624,14.3200194749753,146122.0
random_init,XJTU,-102.08380126953125,61.053877253900716,19238.0
deployed_xgb_fusion_REFERENCE,in-domain (fixed split),0.973,,
deployed_xgb_fusion_REFERENCE,CALCE,0.74,,
deployed_xgb_fusion_REFERENCE,Oxford,0.953,,
deployed_xgb_fusion_REFERENCE,HUST,0.8,,
deployed_xgb_fusion_REFERENCE,XJTU,-1.775,,
