variant,eval_set,r2,rmse,n
without_deeponet_embedding,in-domain (fixed split),0.9753222478323218,0.7597577828997252,5208
with_deeponet_embedding,in-domain (fixed split),0.9608323267200928,0.9571637558490405,5208
without_deeponet_embedding,Oxford,0.9237815053893002,1.886705929815544,519
with_deeponet_embedding,Oxford,0.9903318596861398,0.6719632212983789,519
without_deeponet_embedding,HUST,0.8000207607177637,3.299177031066165,146122
with_deeponet_embedding,HUST,0.740062943408347,3.7613804459296705,146122
without_deeponet_embedding,XJTU,-1.6447702377758597,9.779395408881848,19238
with_deeponet_embedding,XJTU,-1.478260829943392,9.466545749771875,19238
without_deeponet_embedding,CALCE,0.7229014101614004,11.335306236427943,2941
with_deeponet_embedding,CALCE,0.6670294042972881,12.425647850368968,2941
