dataset,horizon,rmse_model,rmse_persistence_baseline,model_beats_persistence,true_soh_std_at_horizon,n
"HUST (size-matched 8-cell subsample, THIS TEST)",1,0.06087710964297212,0.027810547498606685,False,7.490921097758174,3220
"HUST (size-matched 8-cell subsample, THIS TEST)",2,0.11419502131964734,0.039549924126286204,False,7.497529084007405,3220
"HUST (size-matched 8-cell subsample, THIS TEST)",3,0.16204148484007552,0.053356565850108235,False,7.504933421916625,3220
"HUST (size-matched 8-cell subsample, THIS TEST)",4,0.20450806940478944,0.06759438188153793,False,7.511846815045367,3220
"HUST (size-matched 8-cell subsample, THIS TEST)",5,0.24204941238624444,0.08211102403322189,False,7.51825676056727,3220
"HUST (size-matched 8-cell subsample, THIS TEST)",6,0.2744669333946991,0.09773788091852621,False,7.524540924803616,3220
"HUST (size-matched 8-cell subsample, THIS TEST)",7,0.3089256510058711,0.11255131334230072,False,7.531165322277523,3220
"HUST (size-matched 8-cell subsample, THIS TEST)",8,0.34548105517074096,0.12784786421295094,False,7.538458090399221,3220
"HUST (size-matched 8-cell subsample, THIS TEST)",9,0.3893021597701898,0.1430994939599103,False,7.545219527089168,3220
"HUST (size-matched 8-cell subsample, THIS TEST)",10,0.44099992652730846,0.15815938963332365,False,7.551666283899515,3220
