approach,n_estimators,max_depth,format,size_kb,rmse,mae,r2
baseline (as-deployed),500,6,JSON,2845.734375,1.392057601367466,0.9593311761358876,0.9171543527393436
baseline (as-deployed),500,6,UBJ,1981.03515625,1.392057601367466,0.9593311761358876,0.9171543527393436
pruned n=250 depth=6,250,6,UBJ,1006.83203125,1.4153168667456908,0.9542803408102879,0.9143627628109068
pruned n=250 depth=6,250,6,JSON,1451.6796875,1.4153168667456908,0.9542803408102879,0.9143627628109068
pruned n=250 depth=4,250,4,UBJ,406.99609375,1.5134433805575689,0.9897230782680997,0.902076339507347
pruned n=250 depth=4,250,4,JSON,483.82421875,1.5134433805575689,0.9897230782680997,0.902076339507347
pruned n=250 depth=3,250,3,UBJ,283.9453125,1.4115965731186373,0.9508237065610103,0.9148123821800753
pruned n=250 depth=3,250,3,JSON,285.5244140625,1.4115965731186373,0.9508237065610103,0.9148123821800753
pruned n=250 depth=2,250,2,UBJ,219.619140625,1.5294770096389756,0.9778904765292016,0.8999905152877906
pruned n=250 depth=2,250,2,JSON,183.28125,1.5294770096389756,0.9778904765292016,0.8999905152877906
pruned n=100 depth=6,100,6,UBJ,397.9296875,1.4608426852201515,0.9218443913186366,0.9087648514180798
pruned n=100 depth=6,100,6,JSON,573.4404296875,1.4608426852201515,0.9218443913186366,0.9087648514180798
pruned n=100 depth=4,100,4,UBJ,167.3955078125,1.5587314817214106,0.9800242364834069,0.8961281427435039
pruned n=100 depth=4,100,4,JSON,200.9921875,1.5587314817214106,0.9800242364834069,0.8961281427435039
pruned n=100 depth=3,100,3,UBJ,114.9345703125,1.4352395727328857,0.9655713903556522,0.9119348490693377
pruned n=100 depth=3,100,3,JSON,116.171875,1.4352395727328857,0.9655713903556522,0.9119348490693377
pruned n=100 depth=2,100,2,UBJ,88.2744140625,1.676774555099223,1.1121112371845556,0.8797999542271566
pruned n=100 depth=2,100,2,JSON,73.7353515625,1.676774555099223,1.1121112371845556,0.8797999542271566
pruned n=50 depth=6,50,6,UBJ,187.2626953125,1.816787012586082,1.1581317665823074,0.8588882049732489
pruned n=50 depth=6,50,6,JSON,266.921875,1.816787012586082,1.1581317665823074,0.8588882049732489
pruned n=50 depth=4,50,4,UBJ,84.1328125,1.9356694036701512,1.2461525988684516,0.8398165460461788
pruned n=50 depth=4,50,4,JSON,100.7373046875,1.9356694036701512,1.2461525988684516,0.8398165460461788
pruned n=50 depth=3,50,3,UBJ,57.90234375,1.8707173805957409,1.2803419027987435,0.8503862027670838
pruned n=50 depth=3,50,3,JSON,58.3671875,1.8707173805957409,1.2803419027987435,0.8503862027670838
pruned n=50 depth=2,50,2,UBJ,44.572265625,2.2448261477023848,1.6542471527731142,0.7845627941223247
pruned n=50 depth=2,50,2,JSON,37.1328125,2.2448261477023848,1.6542471527731142,0.7845627941223247
pruned n=25 depth=6,25,6,UBJ,92.8056640625,2.701837161393759,1.9296461003539342,0.6879144759655791
pruned n=25 depth=6,25,6,JSON,131.607421875,2.701837161393759,1.9296461003539342,0.6879144759655791
pruned n=25 depth=4,25,4,UBJ,42.3359375,2.7583589235766124,1.9992197810975227,0.6747203928443981
pruned n=25 depth=4,25,4,JSON,50.3623046875,2.7583589235766124,1.9992197810975227,0.6747203928443981
pruned n=25 depth=3,25,3,UBJ,29.38671875,2.802739554112492,2.0472043624541443,0.6641690110727401
pruned n=25 depth=3,25,3,JSON,29.455078125,2.802739554112492,2.0472043624541443,0.6641690110727401
pruned n=25 depth=2,25,2,UBJ,22.7216796875,2.998348607278334,2.2887507435337784,0.6156565061669592
pruned n=25 depth=2,25,2,JSON,18.81640625,2.998348607278334,2.2887507435337784,0.6156565061669592
pruned n=15 depth=6,15,6,UBJ,56.0986328125,3.383903980852748,2.533923814148869,0.5104564354926976
pruned n=15 depth=6,15,6,JSON,79.328125,3.383903980852748,2.533923814148869,0.5104564354926976
pruned n=15 depth=4,15,4,UBJ,25.75,3.4210725372760264,2.579755575999303,0.4996431515278421
pruned n=15 depth=4,15,4,JSON,30.42578125,3.4210725372760264,2.579755575999303,0.4996431515278421
